Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-94.600000,-67.600000,0.000000,bottom
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",-127.600000,-64.600000,-90.000000,bottom
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",-115.175000,-68.500000,-90.000000,bottom
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.500000,-63.200000,-90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.200000,-77.600000,180.000000,top
"C3","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.650000,-63.200000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.150000,-77.500000,0.000000,top
"C5","47u","C_0805_2012Metric",124.950000,-68.850000,90.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.650000,-71.400000,0.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.550000,-72.350000,-90.000000,top
"C8","22u","C_0805_2012Metric",120.450000,-72.400000,-90.000000,top
"C9","22u","C_0805_2012Metric",118.350000,-72.400000,-90.000000,top
"C10","56p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.650000,-73.030000,180.000000,top
"D1","LED","LED_0805_2012Metric",116.350000,-59.800000,-90.000000,top
"IC1","SC810ULTRT","SON50P200X200X60-7N-D",120.050000,-63.500000,-90.000000,top
"IC2","TPS564247DRLR","SOT50P160X60-6N",122.650000,-72.150000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",122.150000,-58.600000,180.000000,top
"J3","Conn_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",151.000000,-61.000000,180.000000,top
"K1","ADW1203HLW","ADW1203HLW",142.000000,-72.800000,0.000000,top
"L1","1.5u","L_Wuerth_MAPI-4020",121.750000,-68.400000,0.000000,top
"Q1","2N7002","SOT-23",133.400000,-60.600000,-90.000000,top
"Q2","2N7002","SOT-23",129.200000,-60.600000,-90.000000,top
"R1","10k","R_0805_2012Metric",117.650000,-63.400000,-90.000000,top
"R2","10k","R_0805_2012Metric",115.850000,-76.212500,-90.000000,top
"R3","10k","R_0805_2012Metric",113.850000,-76.212500,90.000000,top
"R4","10k","R_0805_2012Metric",114.000000,-59.800000,-90.000000,top
"R5","1k","R_0805_2012Metric",114.000000,-63.412500,-90.000000,top
"R6","10k","R_0805_2012Metric",133.400000,-57.600000,0.000000,top
"R7","10k","R_0805_2012Metric",102.150000,-77.550000,180.000000,top
"R8","120k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.650000,-74.600000,0.000000,top
"R9","30k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.662500,-76.180000,180.000000,top
"R10","10k","R_0805_2012Metric",129.200000,-57.600000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",102.250000,-66.600000,90.000000,top
"U2","DS18B20","TO-92_Inline",121.070000,-77.400000,180.000000,top
