"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TO-92_Inline";1;"DS18B20";;;
2;"R6,R7,R2,R10,R1,R11,R3";"R_0805_2012Metric";7;"10k";;;
3;"C3,C2,C1,C11";"C_0805_2012Metric";4;"10u";;;
4;"S1";"JS102000SAQN";1;"JS102000SAQN";;;
5;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS18B20Z";;;
6;"R9";"R_0805_2012Metric";1;"30k";;;
7;"L1";"L_Wuerth_MAPI-4020";1;"1.5u";;;
8;"C4,C6,C7";"C_0805_2012Metric";3;"100n";;;
9;"R8";"R_0805_2012Metric";1;"120k";;;
10;"C5";"C_0805_2012Metric";1;"47u";;;
11;"IC2";"SOT50P160X60-6N";1;"TPS564247DRLR";;;
12;"Q1,Q2";"SOT-23";2;"2N7002";;;
13;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
14;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
15;"C10";"C_0805_2012Metric";1;"56p";;;
16;"IC1";"SON50P200X200X60-7N-D";1;"SC810ULTRT";;;
17;"D2,D1";"LED_0805_2012Metric";2;"LED";;;
18;"C8,C9";"C_0805_2012Metric";2;"22u";;;
19;"R5,R4";"R_0805_2012Metric";2;"1k";;;
20;"BT1";"BH18650PC";1;"BH-18650-PC";;;
21;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Conn_01x02";;;
22;"K1";"ADW1203HLW";1;"ADW1203HLW";;;
23;"SW1";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"SW_SPST";;;
24;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
